"","Sample","OTU","Genus","Abundance"
"422","1337_227_S227_L001","ASV00015","Salmonella",0
"423","1337_227_S227_L001","ASV00016","Escherichia-Shigella",0
"424","1337_227_S227_L001","ASV00029","Oceaniserpentilla",0
"425","1337_227_S227_L001","ASV00031","Alteromonas",0
"426","1337_227_S227_L001","ASV00040","Marinomonas",0
"427","1337_227_S227_L001","ASV00048","Colwellia",0
"428","1337_227_S227_L001","ASV00053","Colwellia",0
"429","1337_227_S227_L001","ASV00068","Glaciecola",0
"430","1337_227_S227_L001","ASV00074","Colwellia",0
"431","1337_227_S227_L001","ASV00186","Alteromonas",0
"432","1337_227_S227_L001","ASV00316","Neptuniibacter",0
"433","1337_227_S227_L001","ASV00476","Oleibacter",0
"434","1337_228_S228_L001","ASV00002","Prochlorococcus MIT9313",0
"435","1337_228_S228_L001","ASV00007","Limosilactobacillus",0
"436","1337_228_S228_L001","ASV00015","Salmonella",0
"437","1337_228_S228_L001","ASV00016","Escherichia-Shigella",0
"438","1337_228_S228_L001","ASV00025","Pseudophaeobacter",0
"439","1337_228_S228_L001","ASV00029","Oceaniserpentilla",0
"440","1337_228_S228_L001","ASV00040","Marinomonas",0
"441","1337_228_S228_L001","ASV00048","Colwellia",0
"442","1337_228_S228_L001","ASV00053","Colwellia",0
"443","1337_228_S228_L001","ASV00061",NA,0
"444","1337_228_S228_L001","ASV00074","Colwellia",0
"445","1337_229_S229_L001","ASV00007","Limosilactobacillus",0
"446","1337_229_S229_L001","ASV00009","Glaciecola",0
"447","1337_229_S229_L001","ASV00013","Alteromonas",0
"448","1337_229_S229_L001","ASV00014","Alteromonas",0
"449","1337_229_S229_L001","ASV00015","Salmonella",0
"450","1337_229_S229_L001","ASV00016","Escherichia-Shigella",0
"451","1337_229_S229_L001","ASV00025","Pseudophaeobacter",0
"452","1337_229_S229_L001","ASV00029","Oceaniserpentilla",0
"453","1337_229_S229_L001","ASV00031","Alteromonas",0
"454","1337_229_S229_L001","ASV00043","Pseudoalteromonas",0
"455","1337_229_S229_L001","ASV00048","Colwellia",0
"456","1337_229_S229_L001","ASV00061",NA,0
"457","1337_229_S229_L001","ASV00068","Glaciecola",0
"458","1337_229_S229_L001","ASV00074","Colwellia",0
"459","1337_229_S229_L001","ASV00186","Alteromonas",0
"460","1337_229_S229_L001","ASV00316","Neptuniibacter",0
"461","1337_229_S229_L001","ASV00476","Oleibacter",0
