"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ASV00179",0,0,0,0,1,NA
"ASV00183",140.174340984953,-1.93567104078984,2.09895820883247,-0.922205612596039,0.35642133605643,0.705213964073887
"ASV00184",15.8756939097106,0.797433635508055,2.60116958136544,0.306567338485273,0.75917271735159,0.930442460892484
"ASV00186",132.865015665851,1.11821347692101,2.90021090363557,0.385562813904075,NA,NA
"ASV00187",16.8710033501057,1.80402304791676,2.56748414855427,0.702642331378206,0.482278674782337,0.807443203148204
"ASV00188",37.0724582156548,23.5751285900854,3.08450783588095,7.64307625218017,2.12092297673213e-14,1.19125173859788e-12
"ASV00191",4.91833344713055,4.42416536647325,3.12809943474794,1.41433015758009,0.1572649862256,NA
"ASV00192",20.2347719088339,0.714863300336203,2.44284313865832,0.292635777149747,0.769800564070762,0.930442460892484
"ASV00193",0.525944115252597,2.07972782878412,3.75859096763345,0.553326458423753,0.580039886687573,NA
"ASV00194",9.79911375171951,4.67985440473843,2.97042500060576,1.5754831055435,0.115144975072098,0.446021340221806
"ASV00197",28.3155266258108,6.25700379430464,2.83977724631968,2.20334316799448,0.0275705705661414,0.202247851179178
"ASV00198",3.32612349935647,3.23752705064908,3.65384487783399,0.886060344348359,0.375585010589253,NA
"ASV00199",15.6753610012683,5.20780799223682,3.73526383033168,1.39422761785862,0.163248880529904,0.4869472599761
"ASV00201",2.79987685547896,2.92290468859955,3.65802203966461,0.79903966047934,0.424267415364692,NA
"ASV00204",13.3132664342088,1.41882114941088,3.16830396760541,0.447817243521371,0.654285097671142,0.893614093159521
"ASV00205",3.14726862835548,0.230250198415857,2.96704251497959,0.0776025949252168,0.938144178156717,NA
"ASV00206",1.15570810237894,0.424138726439324,3.6327062517401,0.11675558028843,0.907053744715705,NA
"ASV00208",0,0,0,0,1,NA
"ASV00209",0,0,0,0,1,NA
"ASV00210",21.0352639793223,1.25673830392609,2.61836723142142,0.479970222986579,0.631248566577504,0.892723242145205
"ASV00211",16.7437876319585,2.43254802033115,2.5746950524108,0.944790730868673,0.344765724975719,0.696520017706986
"ASV00212",24.8150089975287,6.42341137238655,3.05177045673487,2.10481471770293,0.0353074395276738,0.216338311287747
"ASV00214",13.1691139839626,0.371605658704762,2.92729823864544,0.126944926143472,0.898983988332122,0.97414020600619
"ASV00215",191.704238302257,1.09671724390417,2.34160628276084,0.468361078452137,0.639526396701452,0.892723242145205
"ASV00216",46.1525629085469,22.0645123100868,2.55472369460089,8.63675095538416,5.78342722814128e-18,9.74507487941805e-16
"ASV00217",17.523355615569,6.0853826161291,2.4655954474136,2.46811885644607,0.0135825212000895,0.117366913959748
"ASV00218",16.9874002402104,5.95051492673667,3.00988233988925,1.97699253817198,0.0480424736509862,0.261134090651328
"ASV00219",0.62498217746507,1.02819234292598,3.7849191058602,0.271655037840578,0.785887276107201,NA
