"","Sample","OTU","Genus","Abundance"
"333","1337_218_S218_L001","ASV00048","Colwellia",0
"334","1337_218_S218_L001","ASV00053","Colwellia",0
"335","1337_218_S218_L001","ASV00061",NA,0
"336","1337_218_S218_L001","ASV00068","Glaciecola",0
"337","1337_218_S218_L001","ASV00074","Colwellia",0
"338","1337_219_S219_L001","ASV00013","Alteromonas",0
"339","1337_219_S219_L001","ASV00014","Alteromonas",0
"340","1337_219_S219_L001","ASV00031","Alteromonas",0
"341","1337_219_S219_L001","ASV00068","Glaciecola",0
"342","1337_220_S220_L001","ASV00013","Alteromonas",0
"343","1337_220_S220_L001","ASV00014","Alteromonas",0
"344","1337_220_S220_L001","ASV00031","Alteromonas",0
"345","1337_221_S221_L001","ASV00013","Alteromonas",0
"346","1337_221_S221_L001","ASV00014","Alteromonas",0
"347","1337_221_S221_L001","ASV00031","Alteromonas",0
"348","1337_221_S221_L001","ASV00061",NA,0
"349","1337_222_S222_L001","ASV00009","Glaciecola",0
"350","1337_222_S222_L001","ASV00013","Alteromonas",0
"351","1337_222_S222_L001","ASV00014","Alteromonas",0
"352","1337_222_S222_L001","ASV00029","Oceaniserpentilla",0
"353","1337_222_S222_L001","ASV00040","Marinomonas",0
"354","1337_222_S222_L001","ASV00043","Pseudoalteromonas",0
"355","1337_222_S222_L001","ASV00061",NA,0
"356","1337_222_S222_L001","ASV00068","Glaciecola",0
"357","1337_222_S222_L001","ASV00074","Colwellia",0
"358","1337_223_S223_L001","ASV00009","Glaciecola",0
"359","1337_223_S223_L001","ASV00013","Alteromonas",0
"360","1337_223_S223_L001","ASV00014","Alteromonas",0
"361","1337_223_S223_L001","ASV00031","Alteromonas",0
"362","1337_223_S223_L001","ASV00040","Marinomonas",0
"363","1337_223_S223_L001","ASV00048","Colwellia",0
"364","1337_223_S223_L001","ASV00053","Colwellia",0
"365","1337_223_S223_L001","ASV00068","Glaciecola",0
"366","1337_223_S223_L001","ASV00074","Colwellia",0
"367","1337_224_S224_L001","ASV00009","Glaciecola",0
"368","1337_224_S224_L001","ASV00031","Alteromonas",0
"369","1337_224_S224_L001","ASV00068","Glaciecola",0
"370","1337_225_S225_L001","ASV00013","Alteromonas",0
"371","1337_225_S225_L001","ASV00014","Alteromonas",0
"372","1337_225_S225_L001","ASV00031","Alteromonas",0
"373","1337_225_S225_L001","ASV00068","Glaciecola",0
"374","1337_226_S226_L001","ASV00002","Prochlorococcus MIT9313",0
"375","1337_226_S226_L001","ASV00009","Glaciecola",0
"376","1337_226_S226_L001","ASV00013","Alteromonas",0
"377","1337_226_S226_L001","ASV00014","Alteromonas",0
"378","1337_226_S226_L001","ASV00029","Oceaniserpentilla",0
"379","1337_226_S226_L001","ASV00031","Alteromonas",0
"380","1337_226_S226_L001","ASV00040","Marinomonas",0
"381","1337_226_S226_L001","ASV00043","Pseudoalteromonas",0
"382","1337_226_S226_L001","ASV00061",NA,0
"383","1337_226_S226_L001","ASV00068","Glaciecola",0
"384","1337_226_S226_L001","ASV00074","Colwellia",0
"385","1337_227_S227_L001","ASV00009","Glaciecola",0
"386","1337_227_S227_L001","ASV00013","Alteromonas",0
"387","1337_227_S227_L001","ASV00014","Alteromonas",0
"388","1337_227_S227_L001","ASV00029","Oceaniserpentilla",0
"389","1337_227_S227_L001","ASV00031","Alteromonas",0
"390","1337_227_S227_L001","ASV00040","Marinomonas",0
"391","1337_227_S227_L001","ASV00048","Colwellia",0
"392","1337_227_S227_L001","ASV00053","Colwellia",0
"393","1337_227_S227_L001","ASV00068","Glaciecola",0
"394","1337_227_S227_L001","ASV00074","Colwellia",0
"395","1337_236_S236_L001","ASV00001","Clade Ia",0
"396","1337_236_S236_L001","ASV00002","Prochlorococcus MIT9313",0
"397","1337_236_S236_L001","ASV00003","Clade Ia",0
"398","1337_236_S236_L001","ASV00004","Synechococcus CC9902",0
"399","1337_236_S236_L001","ASV00008","Shewanella",0
"400","1337_236_S236_L001","ASV00009","Glaciecola",0
"401","1337_236_S236_L001","ASV00010","Shewanella",0
"402","1337_236_S236_L001","ASV00012","Acinetobacter",0
"403","1337_236_S236_L001","ASV00013","Alteromonas",0
"404","1337_236_S236_L001","ASV00014","Alteromonas",0
"405","1337_236_S236_L001","ASV00025","Pseudophaeobacter",0
"406","1337_236_S236_L001","ASV00029","Oceaniserpentilla",0
"407","1337_236_S236_L001","ASV00031","Alteromonas",0
"408","1337_236_S236_L001","ASV00036","Synechococcus CC9902",0
"409","1337_236_S236_L001","ASV00040","Marinomonas",0
"410","1337_236_S236_L001","ASV00043","Pseudoalteromonas",0
"411","1337_236_S236_L001","ASV00048","Colwellia",0
"412","1337_236_S236_L001","ASV00053","Colwellia",0
"413","1337_236_S236_L001","ASV00061",NA,0
"414","1337_236_S236_L001","ASV00068","Glaciecola",0
"415","1337_236_S236_L001","ASV00074","Colwellia",0
"416","1337_237_S237_L001","ASV00010","Shewanella",0
"417","1337_238_S238_L001","ASV00010","Shewanella",0
"418","1337_238_S238_L001","ASV00012","Acinetobacter",0
"419","1337_238_S238_L001","ASV00013","Alteromonas",0
"420","1337_238_S238_L001","ASV00014","Alteromonas",0
"421","1337_238_S238_L001","ASV00031","Alteromonas",0
"422","1337_239_S239_L001","ASV00002","Prochlorococcus MIT9313",0
"423","1337_239_S239_L001","ASV00003","Clade Ia",0
"424","1337_239_S239_L001","ASV00008","Shewanella",0
"425","1337_239_S239_L001","ASV00010","Shewanella",0
"426","1337_239_S239_L001","ASV00012","Acinetobacter",0
"427","1337_239_S239_L001","ASV00013","Alteromonas",0
"428","1337_239_S239_L001","ASV00014","Alteromonas",0
"429","1337_239_S239_L001","ASV00029","Oceaniserpentilla",0
"430","1337_239_S239_L001","ASV00031","Alteromonas",0
"431","1337_239_S239_L001","ASV00036","Synechococcus CC9902",0
"432","1337_239_S239_L001","ASV00061",NA,0
"433","1337_239_S239_L001","ASV00068","Glaciecola",0
"434","1337_240_S240_L001","ASV00002","Prochlorococcus MIT9313",0
"435","1337_240_S240_L001","ASV00003","Clade Ia",0
"436","1337_240_S240_L001","ASV00008","Shewanella",0
"437","1337_240_S240_L001","ASV00012","Acinetobacter",0
"438","1337_240_S240_L001","ASV00031","Alteromonas",0
"439","1337_240_S240_L001","ASV00036","Synechococcus CC9902",0
"440","1337_240_S240_L001","ASV00068","Glaciecola",0
"441","1337_242_S242_L001","ASV00008","Shewanella",0
"442","1337_242_S242_L001","ASV00013","Alteromonas",0
"443","1337_242_S242_L001","ASV00014","Alteromonas",0
"444","1337_242_S242_L001","ASV00031","Alteromonas",0
"445","1337_243_S243_L001","ASV00001","Clade Ia",0
"446","1337_243_S243_L001","ASV00002","Prochlorococcus MIT9313",0
"447","1337_243_S243_L001","ASV00003","Clade Ia",0
"448","1337_243_S243_L001","ASV00004","Synechococcus CC9902",0
"449","1337_243_S243_L001","ASV00008","Shewanella",0
"450","1337_243_S243_L001","ASV00009","Glaciecola",0
"451","1337_243_S243_L001","ASV00010","Shewanella",0
"452","1337_243_S243_L001","ASV00012","Acinetobacter",0
"453","1337_243_S243_L001","ASV00025","Pseudophaeobacter",0
"454","1337_243_S243_L001","ASV00029","Oceaniserpentilla",0
"455","1337_243_S243_L001","ASV00036","Synechococcus CC9902",0
"456","1337_243_S243_L001","ASV00040","Marinomonas",0
"457","1337_243_S243_L001","ASV00043","Pseudoalteromonas",0
"458","1337_243_S243_L001","ASV00048","Colwellia",0
"459","1337_243_S243_L001","ASV00053","Colwellia",0
"460","1337_243_S243_L001","ASV00061",NA,0
"461","1337_243_S243_L001","ASV00068","Glaciecola",0
